timestamp,open,high,low,close,volume
2016-08-11,310.08,310.08,310.08,310.08,0
2016-08-15,309.4,309.4,309.4,309.4,0
2016-08-16,306.17,306.17,306.17,306.17,0
2016-08-17,305.68,305.68,305.68,305.68,0
2016-08-18,305.9,305.9,305.9,305.9,0
2016-08-19,305.38,305.38,305.38,305.38,0
2016-08-22,305.17,305.17,305.17,305.17,0
2016-08-23,306.57,306.57,306.57,306.57,0
2016-08-25,305.12,305.12,305.12,305.12,0
2016-08-26,306.01,306.01,306.01,306.01,0
2016-08-29,308.78,308.78,308.78,308.78,0
2016-08-30,308.32,308.32,308.32,308.32,0
2016-08-31,307.41,307.41,307.41,307.41,0
2016-09-01,306.84,306.84,306.84,306.84,0
2016-09-02,312.36,312.36,312.36,312.36,0
2016-09-06,312.04,312.04,312.04,312.04,0
2016-09-07,311.69,311.69,311.69,311.69,0
2016-09-08,310.66,310.66,310.66,310.66,0
2016-09-09,303.11,303.11,303.11,303.11,0
2016-09-12,304.06,304.06,304.06,304.06,0
2016-09-13,300.51,300.51,300.51,300.51,0
2016-09-14,300.29,300.29,300.29,300.29,0
2016-09-15,302.64,302.64,302.64,302.64,0
2016-09-16,304.21,304.21,304.21,304.21,0
2016-09-19,306.42,306.42,306.42,306.42,0
2016-09-20,306.51,306.51,306.51,306.51,0
2016-09-21,310.08,310.08,310.08,310.08,0
2016-09-22,312.48,312.48,312.48,312.48,0
2016-09-23,309.89,309.89,309.89,309.89,0
2016-09-26,307.44,307.44,307.44,307.44,0
2016-09-27,310.32,310.32,310.32,310.32,0
2016-09-28,312.22,312.22,312.22,312.22,0
2016-09-29,308.75,308.75,308.75,308.75,0
2016-09-30,310.27,310.27,310.27,310.27,0
2016-10-03,309.8,309.8,309.8,309.8,0
2016-10-04,308.86,308.86,308.86,308.86,0
2016-10-05,306.83,306.83,306.83,306.83,0
2016-10-06,306.14,306.14,306.14,306.14,0
2016-10-07,302.91,302.91,302.91,302.91,0
2016-10-10,303.84,303.84,303.84,303.84,0
2016-10-11,303.54,303.54,303.54,303.54,0
2016-10-12,303.93,303.93,303.93,303.93,0
2016-10-13,302.93,302.93,302.93,302.93,0
2016-10-14,303.77,303.77,303.77,303.77,0
2016-10-17,304.41,304.41,304.41,304.41,0
2016-10-18,307.34,307.34,307.34,307.34,0
2016-10-19,308.2,308.2,308.2,308.2,0
2016-10-20,308.27,308.27,308.27,308.27,0
2016-10-21,309.56,309.56,309.56,309.56,0
2016-10-24,309.13,309.13,309.13,309.13,0
2016-10-25,306.51,306.51,306.51,306.51,0
2016-10-26,304.35,304.35,304.35,304.35,0
2016-10-27,303.36,303.36,303.36,303.36,0
2016-10-28,303.05,303.05,303.05,303.05,0
2016-10-31,304.5,304.5,304.5,304.5,0
2016-11-02,294.34,294.34,294.34,294.34,0
2016-11-03,293.54,293.54,293.54,293.54,0
2016-11-04,293.48,293.48,293.48,293.48,0
2016-11-07,298.85,298.85,298.85,298.85,0
2016-11-08,298.9,298.9,298.9,298.9,0
2016-11-09,305.07,305.07,305.07,305.07,0
2016-11-10,305.04,305.04,305.04,305.04,0
2016-11-11,305.0,305.0,305.0,305.0,0
2016-11-14,305.45,305.45,305.45,305.45,0
2016-11-15,307.37,307.37,307.37,307.37,0
2016-11-16,310.07,310.07,310.07,310.07,0
2016-11-17,311.34,311.34,311.34,311.34,0
2016-11-18,311.88,311.88,311.88,311.88,0
2016-11-21,313.68,313.68,313.68,313.68,0
2016-11-22,316.06,316.06,316.06,316.06,0
2016-11-23,316.61,316.61,316.61,316.61,0
2016-11-25,315.78,315.78,315.78,315.78,0
2016-11-28,314.86,314.86,314.86,314.86,0
2016-11-29,313.26,313.26,313.26,313.26,0
2016-11-30,312.2,312.2,312.2,312.2,0
2016-12-01,310.46,310.46,310.46,310.46,0
2016-12-02,309.43,309.43,309.43,309.43,0
2016-12-05,308.57,308.57,308.57,308.57,0
2016-12-06,310.28,310.28,310.28,310.28,0
2016-12-07,310.77,310.77,310.77,310.77,0
2016-12-08,315.16,315.16,315.16,315.16,0
2016-12-09,318.82,318.82,318.82,318.82,0
2016-12-12,317.01,317.01,317.01,317.01,0
2016-12-13,317.22,317.22,317.22,317.22,0
2016-12-14,313.79,313.79,313.79,313.79,0
2016-12-15,318.79,318.79,318.79,318.79,0
2016-12-16,318.3,318.3,318.3,318.3,0
2016-12-19,318.84,318.84,318.84,318.84,0
2016-12-20,321.06,321.06,321.06,321.06,0
2016-12-21,319.72,319.72,319.72,319.72,0
2016-12-22,317.66,317.66,317.66,317.66,0
2016-12-23,318.22,318.22,318.22,318.22,0
2016-12-27,319.81,319.81,319.81,319.81,0
2016-12-28,319.13,319.13,319.13,319.13,0
2016-12-29,318.84,318.84,318.84,318.84,0
2017-01-03,322.66,322.66,322.66,322.66,0
2017-01-04,322.24,322.24,322.24,322.24,0
2017-01-05,319.45,319.45,319.45,319.45,0
2017-01-06,319.35,319.35,319.35,319.35,0
2017-01-09,317.98,317.98,317.98,317.98,0
2017-01-10,317.74,317.74,317.74,317.74,0
2017-01-11,321.47,321.47,321.47,321.47,0
2017-01-12,317.87,317.87,317.87,317.87,0
2017-01-13,318.92,318.92,318.92,318.92,0
2017-01-17,317.45,317.45,317.45,317.45,0
2017-01-18,318.02,318.02,318.02,318.02,0
2017-01-19,318.77,318.77,318.77,318.77,0
2017-01-20,317.61,317.61,317.61,317.61,0
2017-01-23,316.7,316.7,316.7,316.7,0
2017-01-24,318.82,318.82,318.82,318.82,0
2017-01-25,322.48,322.48,322.48,322.48,0
2017-01-26,323.49,323.49,323.49,323.49,0
2017-01-27,322.49,322.49,322.49,322.49,0
2017-01-30,320.82,320.82,320.82,320.82,0
2017-01-31,320.71,320.71,320.71,320.71,0
2017-02-01,321.03,321.03,321.03,321.03,0
2017-02-02,320.22,320.22,320.22,320.22,0
2017-02-03,322.39,322.39,322.39,322.39,0
2017-02-06,322.08,322.08,322.08,322.08,0
2017-02-07,324.67,324.67,324.67,324.67,0
2017-02-08,325.85,325.85,325.85,325.85,0
2017-02-09,329.13,329.13,329.13,329.13,0
2017-02-10,331.44,331.44,331.44,331.44,0
2017-02-13,332.38,332.38,332.38,332.38,0
2017-02-14,332.24,332.24,332.24,332.24,0
2017-02-15,334.06,334.06,334.06,334.06,0
2017-02-16,331.07,331.07,331.07,331.07,0
2017-02-17,332.24,332.24,332.24,332.24,0
2017-02-21,337.06,337.06,337.06,337.06,0
2017-02-22,336.93,336.93,336.93,336.93,0
2017-02-23,334.66,334.66,334.66,334.66,0
2017-02-24,335.17,335.17,335.17,335.17,0
2017-02-27,335.23,335.23,335.23,335.23,0
2017-02-28,334.52,334.52,334.52,334.52,0
2017-03-01,339.89,339.89,339.89,339.89,0
2017-03-02,339.76,339.76,339.76,339.76,0
